2021-04-05 13:28:44,111 :: plutusLogger | INFO | Adding index: inflation_index
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 18 is: 1.1499999999999995
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 19 is: 1.1583333333333328
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 20 is: 1.166666666666666
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 21 is: 1.1749999999999994
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 22 is: 1.1833333333333327
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 23 is: 1.191666666666666
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 24 is: 1.1999999999999993
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 25 is: 1.2083333333333326
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 26 is: 1.216666666666666
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 27 is: 1.2249999999999992
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 28 is: 1.2333333333333325
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 29 is: 1.2416666666666658
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 30 is: 1.2499999999999991
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 31 is: 1.2583333333333324
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 32 is: 1.2666666666666657
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 33 is: 1.274999999999999
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 34 is: 1.2833333333333323
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 35 is: 1.2916666666666656
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 36 is: 1.299999999999999
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 37 is: 1.3083333333333322
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 38 is: 1.3166666666666655
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 39 is: 1.3249999999999988
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 40 is: 1.3333333333333321
2021-04-05 13:28:44,116 :: plutusLogger | DEBUG | The value of real_estate_index index at step 41 is: 1.3416666666666655
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 42 is: 1.3499999999999988
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 43 is: 1.358333333333332
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 44 is: 1.3666666666666654
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 45 is: 1.3749999999999987
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 46 is: 1.383333333333332
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 47 is: 1.3916666666666653
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 48 is: 1.3999999999999986
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 49 is: 1.4083333333333319
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 50 is: 1.4166666666666652
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 51 is: 1.4249999999999985
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 52 is: 1.4333333333333318
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 53 is: 1.441666666666665
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 54 is: 1.4499999999999984
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 55 is: 1.4583333333333317
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 56 is: 1.466666666666665
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 57 is: 1.4749999999999983
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 58 is: 1.4833333333333316
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 59 is: 1.491666666666665
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of real_estate_index index at step 60 is: 1.4999999999999982
2021-04-05 13:28:44,117 :: plutusLogger | INFO | Adding index: px_index
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of px_index index at step 1 is: 1.0058333333333334
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of px_index index at step 2 is: 1.0116666666666667
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of px_index index at step 3 is: 1.0175
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of px_index index at step 4 is: 1.0233333333333334
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of px_index index at step 5 is: 1.0291666666666668
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of px_index index at step 6 is: 1.0350000000000001
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of px_index index at step 7 is: 1.0408333333333335
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of px_index index at step 8 is: 1.0466666666666669
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of px_index index at step 9 is: 1.0525000000000002
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of px_index index at step 10 is: 1.0583333333333336
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of px_index index at step 11 is: 1.064166666666667
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of px_index index at step 12 is: 1.0700000000000003
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of px_index index at step 13 is: 1.0758333333333336
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of px_index index at step 14 is: 1.081666666666667
2021-04-05 13:28:44,117 :: plutusLogger | DEBUG | The value of px_index index at step 15 is: 1.0875000000000004
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 16 is: 1.0933333333333337
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 17 is: 1.099166666666667
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 18 is: 1.1050000000000004
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 19 is: 1.1108333333333338
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 20 is: 1.1166666666666671
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 21 is: 1.1225000000000005
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 22 is: 1.1283333333333339
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 23 is: 1.1341666666666672
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 24 is: 1.1400000000000006
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 25 is: 1.145833333333334
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 26 is: 1.1516666666666673
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 27 is: 1.1575000000000006
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 28 is: 1.163333333333334
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 29 is: 1.1691666666666674
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 30 is: 1.1750000000000007
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 31 is: 1.180833333333334
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 32 is: 1.1866666666666674
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 33 is: 1.1925000000000008
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 34 is: 1.1983333333333341
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 35 is: 1.2041666666666675
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 36 is: 1.2100000000000009
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 37 is: 1.2158333333333342
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 38 is: 1.2216666666666676
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 39 is: 1.227500000000001
2021-04-05 13:28:44,118 :: plutusLogger | DEBUG | The value of px_index index at step 40 is: 1.2333333333333343
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 41 is: 1.2391666666666676
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 42 is: 1.245000000000001
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 43 is: 1.2508333333333344
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 44 is: 1.2566666666666677
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 45 is: 1.262500000000001
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 46 is: 1.2683333333333344
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 47 is: 1.2741666666666678
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 48 is: 1.2800000000000011
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 49 is: 1.2858333333333345
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 50 is: 1.2916666666666679
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 51 is: 1.2975000000000012
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 52 is: 1.3033333333333346
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 53 is: 1.309166666666668
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 54 is: 1.3150000000000013
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 55 is: 1.3208333333333346
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 56 is: 1.326666666666668
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 57 is: 1.3325000000000014
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 58 is: 1.3383333333333347
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 59 is: 1.344166666666668
2021-04-05 13:28:44,119 :: plutusLogger | DEBUG | The value of px_index index at step 60 is: 1.3500000000000014
2021-04-05 13:28:44,119 :: plutusLogger | INFO | Adding Employee Contract: rado_employee_contract to the portfolio
2021-04-05 13:28:44,119 :: plutusLogger | INFO | Initializing: Employee Agreement: rado_employee_contract with: 
2021-04-05 13:28:44,119 :: plutusLogger | INFO | - salary: 100000
2021-04-05 13:28:44,119 :: plutusLogger | INFO | - income tax rate: 0.0
2021-04-05 13:28:44,120 :: plutusLogger | INFO | Adding Account: rado_current_account to the portfolio
2021-04-05 13:28:44,120 :: plutusLogger | INFO | Initializing Current Account: rado_current_account with: 
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - CNIT: 0.0000
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - effective rate: 0.0000
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - current outstanding: 0.00
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - monthly cost: 0.0
2021-04-05 13:28:44,120 :: plutusLogger | INFO | Adding Account: rado_saving_account to the portfolio
2021-04-05 13:28:44,120 :: plutusLogger | INFO | Initializing Current Account: rado_saving_account with: 
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - CNIT: 0.0000
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - effective rate: 0.0000
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - current outstanding: 0.00
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - monthly cost: 0.0
2021-04-05 13:28:44,120 :: plutusLogger | INFO | Adding Real Estate Asset: rado_inherited_flat to the portfolio
2021-04-05 13:28:44,120 :: plutusLogger | INFO | Initializing Real Estate Asset: rado_inherited_flat with: 
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - current market value: 1800000.0
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - property tax: 2000
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - house community costs: 5000
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - real estate index: {0: 1.0, 1: 1.0083333333333333, 2: 1.0166666666666666, 3: 1.025, 4: 1.0333333333333332, 5: 1.0416666666666665, 6: 1.0499999999999998, 7: 1.0583333333333331, 8: 1.0666666666666664, 9: 1.0749999999999997, 10: 1.083333333333333, 11: 1.0916666666666663, 12: 1.0999999999999996, 13: 1.108333333333333, 14: 1.1166666666666663, 15: 1.1249999999999996, 16: 1.1333333333333329, 17: 1.1416666666666662, 18: 1.1499999999999995, 19: 1.1583333333333328, 20: 1.166666666666666, 21: 1.1749999999999994, 22: 1.1833333333333327, 23: 1.191666666666666, 24: 1.1999999999999993, 25: 1.2083333333333326, 26: 1.216666666666666, 27: 1.2249999999999992, 28: 1.2333333333333325, 29: 1.2416666666666658, 30: 1.2499999999999991, 31: 1.2583333333333324, 32: 1.2666666666666657, 33: 1.274999999999999, 34: 1.2833333333333323, 35: 1.2916666666666656, 36: 1.299999999999999, 37: 1.3083333333333322, 38: 1.3166666666666655, 39: 1.3249999999999988, 40: 1.3333333333333321, 41: 1.3416666666666655, 42: 1.3499999999999988, 43: 1.358333333333332, 44: 1.3666666666666654, 45: 1.3749999999999987, 46: 1.383333333333332, 47: 1.3916666666666653, 48: 1.3999999999999986, 49: 1.4083333333333319, 50: 1.4166666666666652, 51: 1.4249999999999985, 52: 1.4333333333333318, 53: 1.441666666666665, 54: 1.4499999999999984, 55: 1.4583333333333317, 56: 1.466666666666665, 57: 1.4749999999999983, 58: 1.4833333333333316, 59: 1.491666666666665, 60: 1.4999999999999982}
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - events: {}
2021-04-05 13:28:44,120 :: plutusLogger | INFO | Adding Real Estate Asset: rado_mortgage_flat to the portfolio
2021-04-05 13:28:44,120 :: plutusLogger | INFO | Initializing Real Estate Asset: rado_mortgage_flat with: 
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - current market value: 1500000.0
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - property tax: 1000
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - house community costs: 4000
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - real estate index: {0: 1.0, 1: 1.0083333333333333, 2: 1.0166666666666666, 3: 1.025, 4: 1.0333333333333332, 5: 1.0416666666666665, 6: 1.0499999999999998, 7: 1.0583333333333331, 8: 1.0666666666666664, 9: 1.0749999999999997, 10: 1.083333333333333, 11: 1.0916666666666663, 12: 1.0999999999999996, 13: 1.108333333333333, 14: 1.1166666666666663, 15: 1.1249999999999996, 16: 1.1333333333333329, 17: 1.1416666666666662, 18: 1.1499999999999995, 19: 1.1583333333333328, 20: 1.166666666666666, 21: 1.1749999999999994, 22: 1.1833333333333327, 23: 1.191666666666666, 24: 1.1999999999999993, 25: 1.2083333333333326, 26: 1.216666666666666, 27: 1.2249999999999992, 28: 1.2333333333333325, 29: 1.2416666666666658, 30: 1.2499999999999991, 31: 1.2583333333333324, 32: 1.2666666666666657, 33: 1.274999999999999, 34: 1.2833333333333323, 35: 1.2916666666666656, 36: 1.299999999999999, 37: 1.3083333333333322, 38: 1.3166666666666655, 39: 1.3249999999999988, 40: 1.3333333333333321, 41: 1.3416666666666655, 42: 1.3499999999999988, 43: 1.358333333333332, 44: 1.3666666666666654, 45: 1.3749999999999987, 46: 1.383333333333332, 47: 1.3916666666666653, 48: 1.3999999999999986, 49: 1.4083333333333319, 50: 1.4166666666666652, 51: 1.4249999999999985, 52: 1.4333333333333318, 53: 1.441666666666665, 54: 1.4499999999999984, 55: 1.4583333333333317, 56: 1.466666666666665, 57: 1.4749999999999983, 58: 1.4833333333333316, 59: 1.491666666666665, 60: 1.4999999999999982}
2021-04-05 13:28:44,120 :: plutusLogger | INFO |  - events: {}
2021-04-05 13:28:44,120 :: plutusLogger | INFO | Adding Rental Agreement: rado_rent_from_inherited_flat to the portfolio
2021-04-05 13:28:44,120 :: plutusLogger | INFO | Initializing: Rental Agreement: rado_rent_from_inherited_flat with: 
2021-04-05 13:28:44,120 :: plutusLogger | INFO | - position: renter
2021-04-05 13:28:44,120 :: plutusLogger | INFO | - rent: 10000.0
2021-04-05 13:28:44,120 :: plutusLogger | INFO | - yearly costs: 0.0
2021-04-05 13:28:44,121 :: plutusLogger | INFO | Adding Share: rado_O2_share to the portfolio
2021-04-05 13:28:44,121 :: plutusLogger | INFO | Initializing Share: rado_O2_share with: 
2021-04-05 13:28:44,121 :: plutusLogger | INFO |  - price: 50000.00
2021-04-05 13:28:44,121 :: plutusLogger | INFO |  - units: 1.00
2021-04-05 13:28:44,121 :: plutusLogger | INFO |  - dividend_yield: 0.15
2021-04-05 13:28:44,121 :: plutusLogger | INFO | Adding Mortgage agreement: rado_mortgage to the portfolio
2021-04-05 13:28:44,121 :: plutusLogger | INFO | Initializing Mortgage: rado_mortgage with: 
2021-04-05 13:28:44,121 :: plutusLogger | INFO |  - CNIT: 0.0200
2021-04-05 13:28:44,121 :: plutusLogger | INFO |  - monthly interest rate: 0.0017
2021-04-05 13:28:44,121 :: plutusLogger | INFO |  - principal: 1500000.00
2021-04-05 13:28:44,121 :: plutusLogger | INFO |  - maturity (in years): 15.00
2021-04-05 13:28:44,162 :: plutusLogger | INFO | Initializing party: Rado
2021-04-05 13:28:44,163 :: plutusLogger | INFO | with initial portfolio: ['rado_employee_contract', 'rado_current_account', 'rado_saving_account', 'rado_inherited_flat', 'rado_mortgage_flat', 'rado_rent_from_inherited_flat', 'rado_O2_share', 'rado_mortgage']
2021-04-05 13:28:44,163 :: plutusLogger | INFO | with initial free cash: 0
2021-04-05 13:28:44,167 :: plutusLogger | INFO | 
2021-04-05 13:28:44,168 :: plutusLogger | INFO | ============================================
2021-04-05 13:28:44,168 :: plutusLogger | INFO | ============== SIMULATION  =================
